Crop Name,Information,Scientific Name,Family Name,Major Global Producer,Typical Height (m),Yield (Tons/Hectare),Soil pH Range,Photosynthesis Type,Type,Soil Needed,Climate,Water Requirement,Optimal Temp. (Â°C),Fertilizer Needed,Harvest Time (Days),Planting Season,Harvest Method,Market Value,Common Pests,Disease Resistance,Image Description
Wheat,"The world's most widely grown cereal. Used primarily for flour (bread, pasta) and livestock feed. A cool-season (Rabi) crop that tolerates frost but requires a dry, warm harvest period. High in gluten protein (bread wheat).",Triticum aestivum,Poaceae (Grass),China/India,0.6 - 1.5,3.0 - 4.5,6.0 - 7.0,C3,Cereal,Loamy,Temperate,Moderate,15-25,Nitrogen (N) & Phosphorus (P),100-150,Autumn,Combine harvester,High,"Aphids, Hessian Fly, Cereal Leaf Beetle",Stem rust resistant,Golden field of ripening wheat stalks
Rice,The staple food for over half the world's population. Paddy rice requires flooded fields for weed control and specific soil conditions. It is a warm-season (Kharif) crop and a major source of global carbohydrates.,Oryza sativa,Poaceae (Grass),China/India,0.5 - 1.8,4.0 - 7.0,5.5 - 6.5,C3,Cereal,Clayey,Tropical/Subtropical,High,20-30,Nitrogen (High requirement),120-180,Summer,Manual/mechanical harvesting,High,"Rice Weevil, Rice Blast, Brown Planthopper",Bacterial blight tolerant,Lush green rice paddy fields
Tomato,"Botanically a fruit (berry), consumed as a vegetable. Requires warm, frost-free conditions and is often grown with stakes/cages. Rich in Vitamin C and Lycopene (antioxidant).",Solanum lycopersicum,Solanaceae (Nightshade),China,0.5 - 2.5,40 - 80,6.0 - 6.8,C3,Vegetable,Sandy loam,Tropical/Subtropical,Moderate,18-27,Organic Compost / NPK,70-100,Spring,Manual picking,Medium,"Whiteflies, Tomato Hornworm, Thrips",Fusarium wilt tolerant,Ripe red tomatoes hanging on the vine
Potato,"A starchy root tuber, one of the world's most important staple foods. Prefers cool weather for tuber development. Crop rotation and certified seed tubers are essential for disease control.",Solanum tuberosum,Solanaceae (Nightshade),China,0.5 - 1.0,20 - 50,5.0 - 6.0,C3,Vegetable,Loamy,Temperate,Moderate,16-22,Potassium (K) & Phosphorus (P),90-120,Spring,Mechanical or hand harvest,Medium,"Colorado Potato Beetle, Wireworms, Aphids",Blight resistant (Late Blight),Harvested potatoes of various colors on the ground
Maize (Corn),"A highly versatile cereal used for human food, animal feed, and ethanol production. Maize is a C4 plant, making it very efficient at using water and sunlight in warm climates.",Zea mays,Poaceae (Grass),USA,1.5 - 3.0,6.0 - 10.0,5.8 - 7.0,C4,Cereal,Loamy,Tropical/Subtropical,Moderate,18-27,NPK (High Nitrogen),90-120,Spring,Mechanical harvest,High,"Maize Stem Borer, Corn Earworm, Rootworm",Drought tolerant,A large corn field with mature yellow cobs
Carrot,"A root vegetable rich in Vitamin A and Beta-Carotene. Requires deep, loose, stone-free sandy loam to prevent root splitting or forking. Thinning seedlings is critical.",Daucus carota subsp. sativus,Apiaceae (Parsley),China,0.3 - 0.6,30 - 50,6.0 - 7.0,C3,Vegetable,Sandy loam,Temperate,Moderate,16-21,Compost / Balanced NPK,70-100,Spring/Autumn,Manual harvest,Medium,"Carrot Fly, Nematodes, Flea Beetles",Resistant varieties available,Bright orange carrots partially pulled from the soil
Cotton,The world's leading natural fiber crop. The white fluffy fiber (lint) is separated from the seeds (ginning). Seeds provide oil and meal for livestock feed.,Gossypium hirsutum/barbadense,Malvaceae (Mallow),China/India,0.5 - 2.0,0.5 - 1.5 (Lint),5.8 - 7.5,C3,Fiber,Loamy,Subtropical,Moderate,25-35,Nitrogen (N),150-200,Spring,Mechanical harvest,High,"Bollworm (Heliothis), Aphids, Mites",Bacterial blight resistant,Fluffy white cotton bolls ready for picking
Soybean,"A major global source of protein and vegetable oil. As a legume, it fixes atmospheric nitrogen into the soil via root nodules, reducing the need for N fertilizer.",Glycine max,Fabaceae (Legume),USA/Brazil,0.5 - 1.5,2.5 - 4.0,6.0 - 7.0,C3,Legume,Loamy,Tropical/Subtropical,Moderate,20-30,Phosphorus (P) & Potassium (K),100-140,Spring,Mechanical harvest,High,"Soybean Aphid, Pod Borer, Cyst Nematode",Fungal resistant varieties,Green soybean pods on the plant
Onion,A bulb vegetable grown for flavor and rich in sulfur compounds. Requires high levels of light and a long day length for proper bulb formation.,Allium cepa,Amaryllidaceae (Amaryllis),India/China,0.3 - 0.5,20 - 40,6.0 - 7.5,C3,Vegetable,Sandy loam,Temperate,Moderate,14-25,Organic Fertilizer,90-120,Autumn,Manual harvest,Medium,"Onion Thrips, Onion Maggots, Cutworms","Fungal resistant varieties (e.g., Pink Root)",Onion bulbs with green shoots in a field
Sugarcane,A perennial grass grown for high sugar content in its stalks. The stalks are crushed to extract juice for sugar and ethanol. Ratooning (regrowth after harvest) is common.,Saccharum officinarum,Poaceae (Grass),Brazil/India,2.0 - 6.0,60 - 100+,6.0 - 8.0,C4,Cash crop,Clayey,Tropical,High,25-35,NPK (High N and K),300-500,Spring,Mechanical harvest,High,"White Grub, Sugarcane Borer, Termites",Ratoon disease tolerant,Tall stalks of sugarcane ready for harvest
Barley,"A versatile cereal used primarily for malting (beer), animal feed, and some food. Tolerates poorer soils and drought better than wheat.",Hordeum vulgare,Poaceae (Grass),Russia/Germany,0.5 - 1.2,3.0 - 4.5,6.0 - 7.5,C3,Cereal,Loamy/Sandy,Temperate/Cool,Moderate - Low,15-20,Nitrogen (N),90-110,Autumn/Spring,Combine harvester,Medium,"Cereal Leaf Beetle, Aphids",Powdery mildew resistant,
Sorghum,"A highly drought-tolerant grain used for food (flatbreads), feed, and biofuel. Thrives in arid and semi-arid regions where maize and rice fail.",Sorghum bicolor,Poaceae (Grass),USA/Nigeria,1.0 - 4.0,2.0 - 4.0,5.5 - 7.5,C4,Cereal,Clayey/Loamy,Tropical/Arid,Low,25-35,Nitrogen (N),100-140,Summer,Combine harvester,Medium,"Sorghum Midge, Stem Borer",Drought resistant,
Oats,"A cool-season crop, primarily grown for human consumption (oatmeal) and livestock feed. High in soluble fiber (beta-glucan).",Avena sativa,Poaceae (Grass),Russia/Canada,0.8 - 1.5,2.0 - 3.5,5.5 - 7.0,C3,Cereal,Loamy,Cool Temperate,Moderate,Oct-20,Nitrogen (Low requirement),90-120,Spring,Combine harvester,Medium,"Cereal Aphids, Frit Fly",Crown rust resistant,
Millet (Pearl),"A resilient, small-seeded grass, highly valued in arid regions for its tolerance to drought and heat. Used for food (flour) and fodder.",Pennisetum glaucum,Poaceae (Grass),India/Niger,1.0 - 3.0,1.0 - 2.5,6.0 - 7.5,C4,Cereal,Sandy/Loamy,Tropical/Arid,Low,25-35,Nitrogen (N),70-120,Summer,Manual/mechanical,Medium,"Stem Borer, Shoot Fly",Blast resistant,
Cassava,"A tropical root crop, the third largest source of food carbohydrates globally. Used for tapioca, flour, and starch. Tolerant of poor soils and drought.",Manihot esculenta,Euphorbiaceae (Spurge),Nigeria,1.0 - 3.0,15 - 30,5.5 - 8.0,C3,Root/Tuber,Sandy/Loamy,Tropical,Low,25-30,Potassium (K),180-365,All Year,Manual harvest,Medium,"Cassava Mealybug, Spider Mites",Cassava Mosaic Disease tolerant,
Sweet Potato,"A starchy, sweet root tuber rich in Vitamin A. Highly adaptable crop grown in warm climates. Used for food and feed.",Ipomoea batatas,Convolvulaceae (Morning Glory),China,0.2 - 0.5,20 - 40,5.5 - 6.5,C3,Root/Tuber,Sandy loam,Tropical/Subtropical,Moderate,20-30,Potassium (K),90-150,Spring,Manual harvest,Medium,"Sweet Potato Weevil, Wireworms",Root-knot nematode resistant,
Banana,A perennial herb grown for its fruit. Requires high humidity and warm temperatures. Used fresh or processed (cooking bananas/plantains).,Musa spp.,Musaceae (Banana),India,2.0 - 9.0,20 - 60,5.5 - 6.5,C3,Fruit,Loamy/Clayey,Tropical,High,25-30,Potassium (K) & Nitrogen (N),365 - 500,All Year,Manual cutting,High,"Banana Weevil, Thrips",Panama Disease resistant (TR4 varieties sensitive),
Common Bean,"A major source of protein and essential micronutrients. Fixes nitrogen, improving soil fertility. Grown as dried beans or fresh snap beans.",Phaseolus vulgaris,Fabaceae (Legume),India/Myanmar,0.3 - 1.0,1.5 - 3.0,6.0 - 7.5,C3,Legume,Loamy,Temperate/Subtropical,Moderate,20-25,Phosphorus (P),60-120,Spring/Summer,Manual/mechanical,Medium,"Bean Beetle, Aphids",Bean Common Mosaic Virus resistant,
Cabbage,A leafy vegetable grown for its dense head. Tolerates cool weather and is a good source of Vitamin C and K. Highly versatile in cooking.,Brassica oleracea,Brassicaceae (Mustard),China,0.3 - 0.5,30 - 50,6.0 - 7.5,C3,Vegetable,Loamy,Cool Temperate,Moderate,15-20,Nitrogen (N),60-100,Spring/Autumn,Manual cutting,Medium,"Cabbage Worms, Aphids, Flea Beetles",Black rot tolerant,
Grapes,"Perennial woody vine cultivated for fresh fruit, raisins, juice, and wine. Requires specific pruning and training systems.",Vitis vinifera,Vitaceae (Grape),China,Climber,Oct-30,5.5 - 6.5,C3,Fruit,Sandy/Loamy,Mediterranean/Temperate,Moderate,20-30,Potassium (K),90-150 (After 3-5 years),Spring,Manual/mechanical,High,"Grape Berry Moth, Phylloxera",Downy mildew tolerant,
Apple,Deciduous fruit tree grown for its fruit. Requires a period of winter chill (vernalization) to produce blossoms.,Malus domestica,Rosaceae (Rose),China,2.0 - 10.0,25 - 40,6.0 - 7.0,C3,Fruit,Loamy,Temperate,Moderate,15-25,Balanced NPK,100+ (Perennial),Spring,Manual picking,High,"Codling Moth, Apple Maggot",Scab resistant varieties,
Citrus (Orange),"Evergreen tree grown for its fruit (orange). Requires warm, frost-free climates. High in Vitamin C.",Citrus sinensis,Rutaceae (Rue),Brazil/China,3.0 - 10.0,30 - 50,6.0 - 7.0,C3,Fruit,Loamy,Subtropical/Tropical,Moderate,20-30,Nitrogen (N),180+ (Perennial),Spring,Manual/mechanical,High,"Citrus Leaf Miner, Rust Mite",Tristeza virus tolerant,
Oil Palm,The most productive oil crop globally. Oil extracted from the fruit flesh and kernel is used in food and industry. Requires high heat and rainfall.,Elaeis guineensis,Arecaceae (Palm),Indonesia/Malaysia,Oct-20,3 - 5 (Oil),4.5 - 6.0,C3,Oil Crop,Clayey,Tropical,High,25-30,Potassium (K),24-36 (Months),All Year,Manual/mechanical,High,"Rhinoceros Beetle, Bagworms",Ganoderma disease management,
Coconut,"Tropical palm grown for its water, meat (copra), and oil. Highly salt-tolerant and thrives near coastlines.",Cocos nucifera,Arecaceae (Palm),Indonesia/Philippines,15 - 30,1 - 2 (Copra),5.5 - 7.5,C3,Oil Crop,Sandy/Coastal,Tropical,High,25-30,Potassium (K),6-8 (Years to maturity),All Year,Manual picking,High,"Red Palm Weevil, Coconut Bug",Lethal Yellowing disease management,
Coffee (Arabica),"The dominant species of coffee, known for fine flavor. Requires high altitudes, cool temperatures, and specific shade conditions.",Coffea arabica,Rubiaceae (Madder),Brazil/Vietnam,2.0 - 5.0,0.5 - 1.5,6.0 - 6.5,C3,Beverage,Volcanic Loam,Tropical Highlands,Moderate,18-22,NPK (Balanced),3-5 (Years to first harvest),Spring,Manual/mechanical,High,"Coffee Berry Borer, Leaf Miner",Coffee rust resistant varieties,
Tea,Evergreen shrub whose young leaves are processed into tea. Requires high rainfall and acidic soil. Plucked regularly.,Camellia sinensis,Theaceae (Tea),China/India,1.0 - 2.0,1.5 - 3.0,4.5 - 5.5,C3,Beverage,Acidic Loam,Tropical/Subtropical,High,18-28,Nitrogen (N),3-5 (Years to first pluck),All Year,Manual plucking,High,"Tea Mosquito Bug, Mites",Blister blight resistant,
Cacao (Cocoa),Tree whose seeds (beans) are processed into cocoa and chocolate. Requires high humidity and shade in the first few years.,Theobroma cacao,Malvaceae (Mallow),Cote d'Ivoire/Ghana,4.0 - 8.0,0.5 - 2.0,5.0 - 6.5,C3,Cash crop,Clayey/Loamy,Tropical,Moderate - High,24-28,Potassium (K) & Nitrogen (N),3-5 (Years to first harvest),All Year,Manual harvest,High,"Cocoa Pod Borer, Capsids",Black pod disease tolerant,
Groundnut (Peanut),Legume grown for its oil and protein-rich seeds. Seeds develop underground (geocarpy). Fixes nitrogen.,Arachis hypogaea,Fabaceae (Legume),China/India,0.3 - 0.5,2.0 - 4.0,5.9 - 7.0,C3,Legume/Oil,Sandy loam,Tropical/Subtropical,Moderate,25-30,Calcium (Ca) & Phosphorus (P),90-120,Summer,Mechanical lifting,High,"Aphids, Termites, Pod Borer",Aflatoxin management,
Sunflower,Oilseed crop grown for cooking oil and snacks. Extremely hardy and drought-tolerant; its head tracks the sun (heliotropism).,Helianthus annuus,Asteraceae (Daisy),Ukraine/Russia,1.5 - 3.0,2.0 - 3.5,6.0 - 7.5,C3,Oil Crop,Loamy,Temperate/Arid,Low,20-28,Potassium (K),90-120,Spring,Combine harvester,Medium,"Sunflower Midge, Head Moth",Rust resistant,
Rapeseed (Canola),Oilseed crop for cooking oil and biodiesel. Canola is a specific variety bred for low levels of erucic acid and glucosinolates.,Brassica napus,Brassicaceae (Mustard),Canada/China,1.0 - 1.8,2.5 - 4.0,6.0 - 7.5,C3,Oil Crop,Clayey,Cool Temperate,Moderate,15-20,Nitrogen (N) & Sulfur (S),150-300,Autumn/Spring,Combine harvester,High,"Flea Beetles, Aphids",Sclerotinia stem rot management,
Lentil,Cool-season pulse crop grown for its edible seeds. High in protein and dietary fiber. Fixes nitrogen.,Lens culinaris,Fabaceae (Legume),Canada/India,0.3 - 0.5,1.5 - 2.5,6.0 - 8.0,C3,Legume,Sandy/Loamy,Cool Temperate,Low,18-24,Phosphorus (P),80-110,Autumn/Spring,Combine harvester,Medium,"Aphids, Weevils",Ascochyta blight resistant,
Chickpea,Pulse crop known for its resistance to drought. Used extensively in Middle Eastern and Indian cuisine. Fixes nitrogen.,Cicer arietinum,Fabaceae (Legume),India/Australia,0.3 - 1.0,1.0 - 2.0,6.0 - 7.0,C3,Legume,Sandy/Loamy,Semi-Arid,Low,20-30,Phosphorus (P),90-110,Autumn,Combine harvester,Medium,"Pod Borer, Aphids",Fusarium wilt management,
Alfalfa,"The most important forage crop worldwide, highly valued for livestock feed. Perennial and excellent at fixing nitrogen.",Medicago sativa,Fabaceae (Legume),USA/Argentina,0.5 - 1.0,15 - 25,6.5 - 7.5,C3,Forage,Loamy,Temperate,Moderate,18-25,Potassium (K),Perennial (Cut every 30-45 days),Spring,Mechanical cutting,Medium,"Alfalfa Weevil, Aphids",Verticillium wilt tolerant,
Pineapple,"Tropical fruit with a unique CAM (Crassulacean Acid Metabolism) photosynthesis, allowing it to conserve water.",Ananas comosus,Bromeliaceae (Pineapple),Costa Rica/Philippines,1.0 - 1.5,50 - 80,5.0 - 6.0,CAM,Fruit,Sandy loam,Tropical,Moderate,20-30,Potassium (K),15-20 (Months),All Year,Manual cutting,High,"Mealybug, Mites",Fusarium resistant,
Avocado,"Tropical fruit tree known for its healthy, high-fat fruit. Requires well-drained soil and is sensitive to frost.",Persea americana,Lauraceae (Laurel),Mexico,Oct-20,Aug-15,6.0 - 7.5,C3,Fruit,Loamy,Tropical/Subtropical,Moderate,20-28,Zinc (Zn) & Nitrogen (N),4-7 (Years to first harvest),Spring,Manual picking,High,"Persea Mite, Scales",Root rot management,
Black Pepper,"Perennial climbing vine grown for its dried berries, used as a spice. Requires high rainfall and humidity.",Piper nigrum,Piperaceae (Pepper),Vietnam,2.0 - 4.0,1.5 - 3.0,5.5 - 6.0,C3,Spice,Clayey/Loamy,Tropical,High,25-30,NPK (Balanced),3-4 (Years to first harvest),All Year,Manual picking,High,"Pollu Beetle, Scale Insects",Slow wilt disease management,
Rubber,Tropical tree cultivated for its latex (sap) used to produce natural rubber. Requires high rainfall and year-round warmth.,Hevea brasiliensis,Euphorbiaceae (Spurge),Thailand/Indonesia,15 - 30,1.0 - 1.8 (Latex),4.5 - 6.0,C3,Industrial,Clayey/Loamy,Tropical,High,25-30,Nitrogen (N),6-7 (Years to tapping),All Year,Manual tapping,High,"Rubber Leaf Caterpillar, Termites",Pink disease management,
Sugarcane,A perennial grass grown for high sugar content in its stalks. The stalks are crushed to extract juice for sugar and ethanol. Ratooning (regrowth after harvest) is common.,Saccharum officinarum,Poaceae (Grass),Brazil/India,2.0 - 6.0,60 - 100+,6.0 - 8.0,C4,Cash crop,Clayey,Tropical,High,25-35,NPK (High N and K),300-500,Spring,Mechanical harvest,High,"White Grub, Sugarcane Borer, Termites",Ratoon disease tolerant,Tall stalks of sugarcane ready for harvest
Safflower,"Oilseed crop for cooking oil and industrial use. Highly drought-tolerant with deep taproots, adapted to dry regions.",Carthamus tinctorius,Asteraceae (Daisy),India/Mexico,0.6 - 1.2,1.0 - 2.5,6.0 - 7.5,C3,Oil Crop,Loamy,Temperate/Arid,Low,15-25,Nitrogen (N),100-140,Spring,Combine harvester,Medium,"Aphids, Lygus Bug",Rust management,
Mustard,"Oilseed and spice crop. Grown for edible oil, condiment, and green fodder. Tolerant of moderate frost.",Brassica juncea,Brassicaceae (Mustard),India/Canada,0.5 - 1.5,1.5 - 2.5,6.0 - 7.5,C3,Oil Crop/Spice,Loamy,Cool Temperate,Moderate,15-20,Nitrogen (N) & Sulfur (S),90-110,Autumn,Combine harvester,Medium,"Aphids, Flea Beetles",White rust management,
Jute,"Natural fiber crop used for sacks, bags, and ropes. Requires high rainfall and humidity for fiber extraction (retting).",Corchorus capsularis,Malvaceae (Mallow),India/Bangladesh,2.0 - 4.0,2.0 - 3.5,6.0 - 7.0,C3,Fiber,Clayey/Loamy,Tropical,High,25-35,Nitrogen (N),120-150,Summer,Manual cutting/Retting,Medium,"Jute Semilooper, Mites",Stem rot management,
Flax,"Dual-purpose crop: grown for fiber (linen) and seed (linseed oil, high in omega-3). Cool-season crop.",Linum usitatissimum,Linaceae (Flax),Canada/China,0.3 - 0.9,1.5 - 2.5,6.0 - 7.5,C3,Fiber/Oil,Loamy,Cool Temperate,Moderate,15-20,Nitrogen (Low requirement),90-110,Spring,Combine harvester,Medium,"Flea Beetles, Thrips",Rust resistant,
Ginger,"Herbaceous plant grown for its rhizome (underground stem), used as a spice and medicine. Requires rich soil and partial shade.",Zingiber officinale,Zingiberaceae (Ginger),India,0.5 - 1.0,Oct-20,6.0 - 7.0,C3,Spice/Herb,Sandy Loam,Tropical/Subtropical,Moderate - High,25-30,Potash (K),240-300,Spring,Manual digging,High,"Shoot Borer, Rhizome Scales",Bacterial wilt management,
Turmeric,"Herbaceous plant grown for its rhizome, used as a spice (Curcumin) and dye. Requires well-distributed rainfall.",Curcuma longa,Zingiberaceae (Ginger),India,0.5 - 1.0,15 - 30,6.0 - 7.5,C3,Spice/Herb,Sandy Loam,Tropical/Subtropical,Moderate - High,25-30,Potash (K),240-300,Spring,Manual digging,High,"Rhizome Fly, Nematodes",Leaf spot management,
Chili Pepper,"Grown for its fruit (chili), used as a spice or vegetable. Rich in Vitamin C and Capsaicin (heat).",Capsicum annuum,Solanaceae (Nightshade),China/Mexico,0.5 - 1.5,20 - 40,6.0 - 7.0,C3,Vegetable/Spice,Sandy loam,Tropical/Subtropical,Moderate,20-30,NPK (Balanced),90-150,Spring,Manual picking,High,"Aphids, Thrips, Whiteflies",Mosaic Virus tolerant,
Sorghum,"A highly drought-tolerant grain used for food (flatbreads), feed, and biofuel. Thrives in arid and semi-arid regions where maize and rice fail.",Sorghum bicolor,Poaceae (Grass),USA/Nigeria,1.0 - 4.0,2.0 - 4.0,5.5 - 7.5,C4,Cereal,Clayey/Loamy,Tropical/Arid,Low,25-35,Nitrogen (N),100-140,Summer,Combine harvester,Medium,"Sorghum Midge, Stem Borer",Drought resistant,
Oats,"A cool-season crop, primarily grown for human consumption (oatmeal) and livestock feed. High in soluble fiber (beta-glucan).",Avena sativa,Poaceae (Grass),Russia/Canada,0.8 - 1.5,2.0 - 3.5,5.5 - 7.0,C3,Cereal,Loamy,Cool Temperate,Moderate,Oct-20,Nitrogen (Low requirement),90-120,Spring,Combine harvester,Medium,"Cereal Aphids, Frit Fly",Crown rust resistant,
Millet (Pearl),"A resilient, small-seeded grass, highly valued in arid regions for its tolerance to drought and heat. Used for food (flour) and fodder.",Pennisetum glaucum,Poaceae (Grass),India/Niger,1.0 - 3.0,1.0 - 2.5,6.0 - 7.5,C4,Cereal,Sandy/Loamy,Tropical/Arid,Low,25-35,Nitrogen (N),70-120,Summer,Manual/mechanical,Medium,"Stem Borer, Shoot Fly",Blast resistant,
Yam,"A staple tuber crop in West Africa. Requires staking (support) and deep, fertile soil. High in carbohydrates and starch.",Dioscorea spp.,Dioscoreaceae (Yam),Nigeria,Climber,15 - 35,5.5 - 7.0,C3,Root/Tuber,Loamy,Tropical,Moderate - High,25-30,Potassium (K),180-300,Spring,Manual digging,Medium,"Yam Beetle, Nematodes",Yam Mosaic Virus management,
Taro (Colocasia),A tropical root crop (corm) used as a staple. Many varieties are grown in flooded conditions similar to rice.,Colocasia esculenta,Araceae (Arum),Nigeria,0.5 - 1.5,Oct-20,5.5 - 6.5,C3,Root/Tuber,Clayey,Tropical,High,20-30,Nitrogen (N),150-250,Spring,Manual digging,Medium,"Taro Leaf Blight, Aphids",Phytophthora tolerant,
Sesame,"An ancient oilseed crop known for its high oil content and distinct nutty flavor. Used in food, oil, and cosmetics. Drought tolerant.",Sesamum indicum,Pedaliaceae (Sesame),India/Myanmar,0.5 - 1.5,0.5 - 1.5,6.0 - 7.5,C3,Oil Crop,Sandy loam,Tropical/Subtropical,Low,25-30,Phosphorus (P),80-120,Summer,Manual/mechanical,High,"Pod Borer, Gall Midge",Phyllody disease management,
